state_code,state_name,population,households
1,JAMMU & KASHMIR,12541302,2119718
1,JAMMU & KASHMIR,9108060,1553433
1,JAMMU & KASHMIR,3433242,566285
2,HIMACHAL PRADESH,6864602,1483280
2,HIMACHAL PRADESH,6176050,1312510
2,HIMACHAL PRADESH,688552,170770
3,PUNJAB,27743338,5513071
3,PUNJAB,17344192,3358113
3,PUNJAB,10399146,2154958
4,CHANDIGARH,1055450,241173
4,CHANDIGARH,28991,7140
4,CHANDIGARH,1026459,234033
5,UTTARAKHAND,10086292,2056975
5,UTTARAKHAND,7036954,1425086
5,UTTARAKHAND,3049338,631889
6,HARYANA,25351462,4857524
6,HARYANA,16509359,3043756
6,HARYANA,8842103,1813768
7,NCT OF DELHI,16787941,3435999
7,NCT OF DELHI,419042,79574
7,NCT OF DELHI,16368899,3356425
8,RAJASTHAN,68548437,12711146
8,RAJASTHAN,51500352,9494903
8,RAJASTHAN,17048085,3216243
9,UTTAR PRADESH,199812341,33448035
9,UTTAR PRADESH,155317278,25685942
9,UTTAR PRADESH,44495063,7762093
10,BIHAR,104099452,18913565
10,BIHAR,92341436,16862940
10,BIHAR,11758016,2050625
11,SIKKIM,610577,129006
11,SIKKIM,456999,93288
11,SIKKIM,153578,35718
12,ARUNACHAL PRADESH,1383727,270577
12,ARUNACHAL PRADESH,1066358,200210
12,ARUNACHAL PRADESH,317369,70367
13,NAGALAND,1978502,396002
13,NAGALAND,1407536,277491
13,NAGALAND,570966,118511
14,MANIPUR,2855794,557859
14,MANIPUR,2021640,385520
14,MANIPUR,834154,172339
15,MIZORAM,1097206,222853
15,MIZORAM,525435,105812
15,MIZORAM,571771,117041
16,TRIPURA,3673917,855556
16,TRIPURA,2712464,616582
16,TRIPURA,961453,238974
17,MEGHALAYA,2966889,548059
17,MEGHALAYA,2371439,430573
17,MEGHALAYA,595450,117486
18,ASSAM,31205576,6406471
18,ASSAM,26807034,5420877
18,ASSAM,4398542,985594
19,WEST BENGAL,91276115,20380315
19,WEST BENGAL,62183113,13813165
19,WEST BENGAL,29093002,6567150
20,JHARKHAND,32988134,6254781
20,JHARKHAND,25055073,4729369
20,JHARKHAND,7933061,1525412
21,ODISHA,41974218,9637820
21,ODISHA,34970562,8089987
21,ODISHA,7003656,1547833
22,CHHATTISGARH,25545198,5650724
22,CHHATTISGARH,19607961,4365568
22,CHHATTISGARH,5937237,1285156
23,MADHYA PRADESH,72626809,15093256
23,MADHYA PRADESH,52557404,11080278
23,MADHYA PRADESH,20069405,4012978
24,GUJARAT,60439692,12248428
24,GUJARAT,34694609,6773558
24,GUJARAT,25745083,5474870
25,DAMAN & DIU,243247,60956
25,DAMAN & DIU,60396,12744
25,DAMAN & DIU,182851,48212
26,DADRA & NAGAR HAVELI,343709,76458
26,DADRA & NAGAR HAVELI,183114,36094
26,DADRA & NAGAR HAVELI,160595,40364
27,MAHARASHTRA,112374333,24421519
27,MAHARASHTRA,61556074,13214738
27,MAHARASHTRA,50818259,11206781
28,ANDHRA PRADESH,84580777,21022588
28,ANDHRA PRADESH,56361702,14234387
28,ANDHRA PRADESH,28219075,6788201
29,KARNATAKA,61095297,13357027
29,KARNATAKA,37469335,7946657
29,KARNATAKA,23625962,5410370
30,GOA,1458545,343611
30,GOA,551731,128208
30,GOA,906814,215403
31,LAKSHADWEEP,64473,11574
31,LAKSHADWEEP,14141,2710
31,LAKSHADWEEP,50332,8864
32,KERALA,33406061,7853754
32,KERALA,17471135,4149641
32,KERALA,15934926,3704113
33,TAMIL NADU,72147030,18524982
33,TAMIL NADU,37229590,9528495
33,TAMIL NADU,34917440,8996487
34,PUDUCHERRY,1247953,302450
34,PUDUCHERRY,395200,95018
34,PUDUCHERRY,852753,207432
35,ANDAMAN & NICOBAR ISLANDS,380581,94551
35,ANDAMAN & NICOBAR ISLANDS,237093,58530
35,ANDAMAN & NICOBAR ISLANDS,143488,36021
